"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"27";"";"RNULL_EU0805";"R0805_C";"R1, R2, R3, R4, R5, R6, R7, R8, R11, R12, R13, R14, R15, R16, R17, R33, R34, R36, R37, R39, R40, R42, R43, R45, R46, R48, R49";"";"";
"14";"";"R_EU0805";"R0805";"R19, R20, R21, R22, R23, R24, R25, R26, R35, R38, R41, R44, R47, R50";"";"";
"1";"";"SJ";"SJ";"SJ1";"SMD solder JUMPER";"";
"21";"100n";"C0805";"R0805";"C3, C4, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C19, C22, C23, C24, C25, C26, C27, C28";"";"";
"2";"100u";"C_EL1R07";"C_EL1RASZT07";"C5, C21";"";"";
"2";"10k";"R_EU0805";"R0805";"R28, R51";"";"";
"1";"10u";"C0805";"R0805";"C18";"";"";
"1";"150";"R_EU0805";"R0805";"R32";"";"";
"1";"1k";"R_EU0805";"R0805";"R9";"";"";
"1";"1u";"C0805";"R0805";"C6";"";"";
"4";"2.2k";"R_EU0805";"R0805";"R27, R29, R30, R52";"";"";
"1";"20MHz";"XTAL_2QS";"XTAL_QS";"Q1";"";"";
"2";"22";"C0805";"R0805";"C1, C2";"";"";
"1";"220u";"C_EL1R07";"C_EL1RASZT07";"C20";"";"";
"2";"33";"R_EU0805";"R0805";"R10, R18";"";"";
"1";"330";"R_EU0805";"R0805";"R31";"";"";
"1";"40 39 M +5 G";"PIN05_1";"PIN05_1";"PROG";"";"";
"1";"BC846BSMD";"BC846BSMD";"SOT23";"Q2";"NPN Transistor";"";
"1";"D2..0 Dc Rw E 3 G";"PIN04_2'THT'";"PIN04_2";"CN_KIJ3";"";"";
"1";"Int Rx Tx Ss So Si Sc 12 5 G";"PIN10_2";"PIN10_2";"CN_SYSTEM";"";"";
"1";"LD117AS33TR";"LD117AS33TR";"SOT223";"IC1";"Low drop fixed and adjustable positive voltage regulators 1 A";"";
"26";"LED1206";"LED1206";"R1206";"DL1, DL2, DL3, DL4, DL5, DL6, DL7, DL8, DL9, DL10, DL11, DL12, DL13, DL14, DL16, DL17, DL18, DL19, DL20, DL21, DL22, DL23, DL24, DL25, DL26, DL27";"";"";
"26";"LED3MM";"LED3MM";"LED3MM";"DPL1, DPL2, DPL3, DPL4, DPL5, DPL6, DPL7, DPL8, DPL9, DPL10, DPL11, DPL12, DPL13, DPL14, DPL19, DPL20, DPL21, DPL22, DPL23, DPL24, DPL25, DPL26, DPL27, DPL28, DPL29, DPL30";"";"";
"8";"LED5MM";"LED5MM";"LED5MM";"DPL15, DPL16, DPL17, DPL18, DPL31, DPL32, DPL33, DPL34";"";"";
"1";"PIC32MX1XXSOIC";"PIC32MX1XXSOIC";"SOIC127P1032X265-28N";"U$8";"";"";
"1";"PWR";"LED5MM";"LED5MM";"DL15";"";"";
"2";"ROTARTY_ENCODERSLIM";"ROTARTY_ENCODERSLIM";"ROTARY_ENC_SLIM";"SW15, SW16";"Simple no LED rotary encoder";"";
"12";"Red";"LED5MM";"LED5MM";"DL28, DL29, DL30, DL31, DL32, DL33, DL34, DL35, DL36, DL37, DL38, DL39";"";"";
"15";"SCT2168SOP16";"SCT2168SOP16";"SO16";"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$9, U$10, U$11, U$12, U$13, U$14, U$15, U$16";"";"";
"26";"SPG2";"SPG2";"SPG2_3LED";"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28";"";"";
"1";"TESTCSAVAR";"TESTCSAVAR";"TESTCSAVAR";"CN1";"";"";
"1";"Vc Cs Rs Bs2..0";"PIN03_2'THT'";"PIN03_2";"CN_KIJ1";"";"";
