Qty;Value;Parts
1;0R;R15
1;10R;R55
1;10R;R51 1206
4;100R;R26, R34, R35, R56
10;100n;C12, C24, C25, C26, C27, C51, C52, C55, C58, C62
1;100u/16V;C1, C53, C66
1;10M;R39
11;10k;R1, R2, R3, R4, R19, R21, R23, R24, R28, R30, R54
6;10u;C17, C20, C21, C23, C56, C67
1;120R;R36
2;150n;C64, C70
1;15k;R10
1;1A;F2
8;1N4148;D1, D2, D3, D4, D16, D17, D18, D19
4;1k;R5, R14, R52, R53
9;1u;C2, C3, C28, C29, C59, C60, C61, C68, C69
2;22-27-2021-02;2P FEH
1;22-27-2031-03;3P FEH
1;22-27-2051-05;5P FEH
1;220R;R17
1;220n;C71
2;220p;C7, C9
3;220uF/16V;C54, C57, C65
1;100uF/50V;C47
7;22k;R6, R7, R9, R12, R13, R32, R33
1;22p;C8
3;2k2;R22, R27, R38
3;3k3;R16, R20, R48
1;4053D;IC3
2;470R;R37, R49
6;470n;C4, C5, C11, C13, C15, C63
4;470p;C14, C16, C18, C19
1;470uF/16V;C50
3;47k;R25, R41, R42
1;47n;C10
5;47u;L7, L8, L10, L11, L12
1;4R7;R50
4;4k7;R8, R11, R29, R40
1;4n7;C6
1;5k6;R31
1;6k8;R18
2;7805TV;IC9, IC12
1;BD242;T2
3;LM833D;IC1, IC2, IC4
2;M01PTH_LONGPAD;JP1, JP2
1;NPBF170;Q3
1;TÜS 5P;MUSOR/NORMAL
1;NPBF170;Q1
1;NSD-D;SD2
3;PIN02_1;CN1, FENYELL, F_LED
1;PÓT C;C22
1;QT;LED1
1;RJ45;RJ2
2;SS16;D12, D13
1;TPA3123D2;IC11
