Qty;Designator;Footprint;Comment;LCSC Part #;Description
3;C12, C24, C27;C0805;100n 10%;;CAPACITOR, European symbol
4;C17, C20, C21, C23;C0805;10u 10%;;CAPACITOR, European symbol
2;C64, C70;C0805;150n 10%;;CAPACITOR, European symbol
2;C2, C3;C0805;1u 10%;;CAPACITOR, European symbol
2;C7, C9;C0805;220p 10%;;CAPACITOR, European symbol
1;C8;C0805;22p 10%;;CAPACITOR, European symbol
6;C4, C5, C11, C13, C15, C63;C0805;470n 10%;;CAPACITOR, European symbol
5;C14, C16, C18, C19;C0805;470p 10%;;CAPACITOR, European symbol
1;C10;C0805;47n 10%;;CAPACITOR, European symbol
1;C6;C0805;4n7 10%;;CAPACITOR, European symbol
3;IC1, IC2, IC4;SO08;LM833D;C127074;OP AMP
1;R15;R0805;0R 5%;;RESISTOR, European symbol
3;R26, R34, R35;R0805;100R 5%;;RESISTOR, European symbol
10;R1, R2, R3, R4, R19, R21, R23, R24, R28, R30;R0805;10k 5%;;RESISTOR, European symbol
1;R10;R0805;15k  5%;;RESISTOR, European symbol
4;R5, R14, R52, R53;R0805;1k  5%;;RESISTOR, European symbol
1;R17;R0805;220R  5%;;RESISTOR, European symbol
7;R6, R7, R9, R12, R13, R32, R33;R0805;22k  5%;;RESISTOR, European symbol
2;R22, R27;R0805;2k2  5%;;RESISTOR, European symbol
2;R16, R20;R0805;3k3  5%;;RESISTOR, European symbol
1;R25;R0805;47k  5%;;RESISTOR, European symbol
3;R8, R11, R29;R0805;4k7  5%;;RESISTOR, European symbol
1;R31;R0805;5k6  5%;;RESISTOR, European symbol
1;R18;R0805;6k8  5%;;RESISTOR, European symbol
1;IC3;SO16;4053D;C507160;Triple 2-channel ANALOG MULTIPLEXER
3;D1, D2, D3;D0805;1N4148;C109001;
