Qty;Value;Parts
1;;Q1
1;100u;C29
1;10jk;R81
1;120;R126
1;2.2k;R1
1;470;R125
1;7805DT;STAB1
1;FEHER_TUS_2ALLO;U$21
1;MCP2551;CANIC
1;PIC18F45K80-I/PT;PIC1
1;PIN03_1;CN_CANLEZAR
1;PIN05_1;CN_TANIT
1;PIN05_2'THT';CN3
2;10u;C3, C30
2;22;C1, C2
2;DDO214AC;D1, D2
2;FDC6306P;U5, U16
2;FEHER_TUS_3;U$1, U$20
2;RJ45_CSAKPIN;CN_RJ1, CN_RJ2
3;10K;R2, R3, R4
3;SCT2168SOP16;IC7, IC8, IC9
6;BEM_VEDO;IC1, IC2, IC3, IC4, IC5, IC6
10;AP2625GY-HF-3SOT26;U6, U7, U8, U9, U10, U11, U12, U13, U14, U15
12;ZOLD_KICSI_3P;ZOLD_3P1, ZOLD_3P2, ZOLD_3P3, ZOLD_3P4, ZOLD_3P5, ZOLD_3P6, ZOLD_3P7, ZOLD_3P8, ZOLD_3P9, ZOLD_3P10, ZOLD_3P11, ZOLD_3P12
24;22k;R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52
28;100n;C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C31, C32, C33
95;10k;R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124
